names	Grian	SmallishBeans	Dangthatsalongname	BigB - Minecraft	EthosLab	BdoubleO100	PearlescentMoon	InTheLittleWood ak...	GoodTimesWithScar	impulseSV	Tango Tek	ZombieCleo	Solidarity	MCSkizzleman
Bar colors	#8a0a01	#3866f9	#48bfea	#c0efff	#87CEEB	#35168b	#fff5c3	#72ca30	#306166	#f2ca37	#fc1900	#abadaa	#373797	#0020ff
Bar images	x	x	x	x	x	x	x	x	x	x	x	x	x	x
22-Sep-12	0	219150			347839	120445	0	25984	6143			6785		
23-Sep-12	0	219112			349627	121125	0	26096	6175			6863		
24-Sep-12	0	219097			350769	121689	0	26224	6201			6999		
25-Sep-12	0	219091			352053	122182	0	26283	6211			7056		
26-Sep-12	0	219073			353378	122660	0	26299	6248			7058		
27-Sep-12	0	219406			356382	123888	0	26539	6282			7154		
28-Sep-12	0	219397			357487	124534	0	26775	6284			7156		
29-Sep-12	0	219345			359241	125297	0	26968	6301	0		7167		
30-Sep-12	0	219331			361130	125967	0	27078	6336	0		7218		
1-Oct-12	0	219301			362740	126720	0	27178	6390	0		7252		
2-Oct-12	0	219297			364246	127306	0	27187	6392	0		7275		
3-Oct-12	0	219284			365608	128092	0	27280	6417	0		7314		
4-Oct-12	0	219293			366833	128659	0	27324	6440	0		7315		
5-Oct-12	0	219276			368200	129144	0	27394	6461	0		7333		
6-Oct-12	0	219289			369981	129784	0	27554	6479	0		7366		
7-Oct-12	0	219272			371968	130499	0	27572	6514	8.771929825		7368		
8-Oct-12	0	219256			373478	131051	0	28655	6567	17.54385965		7411		
9-Oct-12	0	219245			374814	131619	0	28669	6574	26.31578947		7419		
10-Oct-12	0	219220			376314	132132	0	28777	6628	35.0877193		7423		
11-Oct-12	0	219202			377704	132589	0	28956	6642	43.85964912		7433		
12-Oct-12	0	219190			379027	133016	0	29004	6669	52.63157895		7444		
13-Oct-12	0	219174			380753	133616	0	29055	6738	61.40350877		7454		
14-Oct-12	0	219132			382984	134373	0	29163	6741	70.1754386		7480		
15-Oct-12	0	219109			384626	134943	0	29795	6808	78.94736842		7493		
16-Oct-12	0	219096			385946	135325	0	29976	6814	87.71929825		7503		
17-Oct-12	0	219063			387333	135866	0	30065	6902	96.49122807		7514		
18-Oct-12	0	219036			388732	136466	0	30077	6915	105.2631579		7546		
19-Oct-12	0	219057			390250	136965	0	30154	6950	114.0350877		7564		
20-Oct-12	0	219081			392653	137695	0	30329	7003	122.8070175		7609		
21-Oct-12	0	219089			394997	138526	0	30522	7065	131.5789474		7627		
22-Oct-12	0	219155			397621	139573	0	30577	7121	140.3508772		7631		
23-Oct-12	0	219020			398000	139730	0	30905	7171	149.122807		7655		
24-Oct-12	0	219145			400187	140757	0	30938	7191	157.8947368		7658		
25-Oct-12	0	219105			401273	141037	0	31067	7232	166.6666667		7661		
26-Oct-12	0	218991			402615	141476	0	31244	7274	175.4385965		7672		
27-Oct-12	0	218985			404909	142226	0	31680	7293	184.2105263		7688		
28-Oct-12	0	218971			407038	143145	0	32175	7347	192.9824561		7696		
29-Oct-12	0	218937			408531	143873	0	32435	7401	201.754386		7698		
30-Oct-12	0	218881			409796	144371	0	32482	7438	210.5263158		7701		
31-Oct-12	0	218880			411059	145004	0	32765	7468	219.2982456		7711		
1-Nov-12	0	218854			412357	145631	0	33790	7496	228.0701754		7728		
2-Nov-12	0	218779			413785	146178	0	33988	7546	236.8421053		7746		
3-Nov-12	0	218778			415332	146706	0	34496.5	7587	245.6140351		7754		
4-Nov-12	0	218770			417409	147558	0	35005	7712	254.3859649	0	7762		
5-Nov-12	0	218762			418918	148084	0	35999	7718	263.1578947	4.310344828	7777		
6-Nov-12	0	218755			420549	148801	0	36114	7756	271.9298246	8.620689655	7783		
7-Nov-12	0	218745			422018	149433	0	36623	7816	280.7017544	12.93103448	7780		
8-Nov-12	0	218743			423273	149887	0	37015	7827	289.4736842	17.24137931	7785		
9-Nov-12	0	218727			424580	150382	0	37486	7858	298.245614	21.55172414	7787		
10-Nov-12	0	218747			426601	151045	0	38013	7886	307.0175439	25.86206897	7788		
11-Nov-12	0	218764			428731	151696	0	38058	7937	315.7894737	30.17241379	7797		
12-Nov-12	0	218757			430261	152237	0	38450	7982	324.5614035	34.48275862	7806		
13-Nov-12	0	218749			431289	153050	0	38747	8043	333.3333333	38.79310345	7819		
14-Nov-12	0	218736			432449	153526	0	39008	8063	342.1052632	43.10344828	7825		
15-Nov-12	0	218742			433464	153976	0	39252	8086	350.877193	47.4137931	7824		
16-Nov-12	0	218818			434493	154474	0	39503	8132	359.6491228	51.72413793	7830		
17-Nov-12	0	218846			436111	157315	0	39817	8137	368.4210526	56.03448276	7836		
18-Nov-12	0	218849			438007	159450	0	40148	8168	377.1929825	60.34482759	7848		
19-Nov-12	0	218871			439705	160482	0	40468	8205	385.9649123	64.65517241	7858		
